Actual Flow,Predicted Flow,Actual Speed,Predicted Speed
2295.2353144436765,2448.2908,55.79195755923666,57.37689
2566.3496890117485,2575.1584,55.79195755923666,56.998695
2118.2975120939877,2284.9985,55.79195755923666,56.801907
1977.5082930200413,2080.0107,55.79195755923666,56.48139
2080.246371803732,2103.1416,55.79195755923666,56.85018
2111.6385625431926,2204.1008,55.79195755923666,56.889935
2053.610573600553,2155.7957,55.79195755923666,56.90722
2086.9053213545267,2250.1511,55.79195755923666,56.81295
2224.8407049067036,2362.9194,55.79195755923666,57.037045
2509.272978576365,2409.4692,55.79195755923666,57.11137
2587.277816171389,2663.1309,55.79195755923666,57.301056
2601.546993780235,2524.279,55.79195755923666,57.178776
2138.2743607463717,2000.7312,55.79195755923666,56.832634
1453.3538355217693,1517.236,55.79195755923666,54.21826
